timestamp,sensor,value
2024-01-15 08:00,temp,22.5
2024-01-15 08:05,humidity,45.2
2024-01-15 08:10,temp,23.1
2024-01-15 08:15,pressure,1013.25
2024-01-15 08:20,temp,-999
2024-01-15 08:25,humidity,
2024-01-15 08:30,temp,22.8
2024-01-15 08:35,humidity,46.1
2024-01-15 08:40,pressure,abc
2024-01-15 08:45,temp,23.5
2024-01-15 08:50,humidity,44.8
2024-01-15 08:55,pressure,1012.80
2024-01-15 09:00,temp,24.0
2024-01-15 09:05,humidity,150.0
2024-01-15 09:10,pressure,1013.50
2024-01-15 09:15,temp,22.2
2024-01-15 09:20,humidity,43.5
2024-01-15 09:25,pressure,1011.90
2024-01-15 09:30,temp,
2024-01-15 09:35,humidity,47.3
